,team,season,opp,datetime,day_week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
88,DET,2007,ARI,2007-11-11 16:15:00,Sun,0,0,6-3,AWAY,21.0,31.0,16.0,247.0,265.0,-18.0,5.0,21.0,319.0,246.0,73.0,4.0,-16.38,9.63,-1.6
89,DET,2007,NYG,2007-11-18 13:03:00,Sun,0,0,6-4,HOME,10.0,16.0,17.0,376.0,351.0,25.0,4.0,19.0,341.0,269.0,72.0,2.0,-4.39,6.59,-7.57
90,DET,2007,GNB,2007-11-22 12:36:00,Thu,0,0,6-5,HOME,26.0,37.0,25.0,331.0,197.0,134.0,1.0,25.0,481.0,381.0,100.0,1.0,-1.16,-20.6,7.73
91,DET,2007,MIN,2007-12-02 13:05:00,Sun,0,0,6-6,AWAY,10.0,42.0,14.0,253.0,230.0,23.0,1.0,29.0,443.0,227.0,216.0,1.0,-3.47,-27.45,2.5
92,DET,2007,DAL,2007-12-09 13:03:00,Sun,0,0,6-7,HOME,27.0,28.0,25.0,390.0,238.0,152.0,0.0,25.0,368.0,281.0,87.0,1.0,13.86,-15.89,-0.26
93,DET,2007,LAC,2007-12-16 16:15:00,Sun,0,0,6-8,AWAY,14.0,51.0,19.0,328.0,302.0,26.0,6.0,26.0,416.0,142.0,274.0,0.0,-17.78,-17.59,-0.64
94,DET,2007,KAN,2007-12-23 13:02:00,Sun,1,0,7-8,HOME,25.0,20.0,12.0,236.0,99.0,137.0,1.0,25.0,407.0,344.0,63.0,1.0,-3.33,0.86,6.75
95,DET,2007,GNB,2007-12-30 13:02:00,Sun,0,0,7-9,AWAY,13.0,34.0,16.0,293.0,246.0,47.0,2.0,19.0,394.0,177.0,217.0,1.0,-12.96,-11.13,3.35
96,DET,2008,ATL,2008-09-07 13:04:00,Sun,0,0.0,0-1,AWAY,21.0,34.0,21.0,316.0,246.0,70.0,1.0,23.0,474.0,156.0,318.0,0.0,5.75,-21.7,1.59
97,DET,2008,GNB,2008-09-14 13:03:00,Sun,0,0.0,0-2,HOME,25.0,48.0,15.0,311.0,262.0,49.0,3.0,19.0,447.0,324.0,123.0,1.0,-22.15,-12.42,7.81
98,DET,2008,SFO,2008-09-21 16:06:00,Sun,0,0.0,0-3,AWAY,13.0,31.0,14.0,240.0,124.0,116.0,2.0,25.0,370.0,188.0,182.0,0.0,-6.15,-16.16,3.23
99,DET,2008,CHI,2008-10-05 13:02:00,Sun,0,0.0,0-4,HOME,7.0,34.0,12.0,185.0,131.0,54.0,2.0,21.0,425.0,328.0,97.0,1.0,-24.0,-11.52,8.38
100,DET,2008,MIN,2008-10-12 13:05:00,Sun,0,0.0,0-5,AWAY,10.0,12.0,8.0,212.0,112.0,100.0,1.0,23.0,392.0,257.0,135.0,3.0,-13.2,6.12,5.05
101,DET,2008,HOU,2008-10-19 16:05:00,Sun,0,0.0,0-6,AWAY,21.0,28.0,15.0,326.0,249.0,77.0,0.0,29.0,404.0,254.0,150.0,1.0,10.71,-19.46,5.84
102,DET,2008,WAS,2008-10-26 13:03:00,Sun,0,0.0,0-7,HOME,17.0,25.0,13.0,274.0,217.0,57.0,0.0,22.0,439.0,304.0,135.0,1.0,-1.19,-8.42,0.83
103,DET,2008,CHI,2008-11-02 13:02:00,Sun,0,0.0,0-8,AWAY,23.0,27.0,21.0,333.0,280.0,53.0,3.0,18.0,320.0,166.0,154.0,2.0,-6.97,-0.31,4.78
104,DET,2008,JAX,2008-11-09 13:02:00,Sun,0,0.0,0-9,HOME,14.0,38.0,13.0,256.0,153.0,103.0,1.0,24.0,384.0,227.0,157.0,0.0,-1.79,-23.33,0.07
105,DET,2008,CAR,2008-11-16 13:03:00,Sun,0,0.0,0-10,AWAY,22.0,31.0,20.0,316.0,186.0,130.0,4.0,16.0,366.0,102.0,264.0,1.0,-5.78,-9.6,2.36
106,DET,2008,TAM,2008-11-23 13:03:00,Sun,0,0.0,0-11,HOME,20.0,38.0,9.0,207.0,99.0,108.0,3.0,15.0,255.0,139.0,116.0,3.0,-26.59,6.01,-1.19
107,DET,2008,TEN,2008-11-27 12:37:00,Thu,0,0.0,0-12,HOME,10.0,47.0,6.0,154.0,131.0,23.0,3.0,19.0,456.0,164.0,292.0,1.0,-26.02,-9.44,-4.74
