,team,season,opp,datetime,day_week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
97,PIT,2007,NYJ,2007-11-18 16:05:00,Sun,0,1,7-3,AWAY,16.0,19.0,16.0,263.0,151.0,112.0,2.0,20.0,297.0,146.0,151.0,1.0,-9.91,6.71,0.2
98,PIT,2007,MIA,2007-11-26 20:55:00,Mon,1,0,8-3,HOME,3.0,0.0,13.0,216.0,132.0,84.0,1.0,9.0,159.0,110.0,49.0,2.0,-13.17,17.15,-4.11
99,PIT,2007,CIN,2007-12-02 20:24:00,Sun,1,0,9-3,HOME,24.0,10.0,20.0,285.0,184.0,101.0,4.0,15.0,249.0,175.0,74.0,1.0,-7.34,13.02,7.5
100,PIT,2007,NWE,2007-12-09 16:15:00,Sun,0,0,9-4,AWAY,13.0,34.0,19.0,349.0,168.0,181.0,1.0,21.0,421.0,399.0,22.0,0.0,2.65,-19.16,-1.1
101,PIT,2007,JAX,2007-12-16 13:03:00,Sun,0,0,9-5,HOME,22.0,29.0,13.0,217.0,102.0,115.0,0.0,25.0,421.0,197.0,224.0,1.0,-3.22,-11.54,7.29
102,PIT,2007,LAR,2007-12-20 20:15:00,Thu,1,0,10-5,AWAY,41.0,24.0,24.0,425.0,259.0,166.0,0.0,17.0,316.0,226.0,90.0,2.0,21.86,-1.98,-3.2
103,PIT,2007,BAL,2007-12-30 16:17:00,Sun,0,0,10-6,AWAY,21.0,27.0,14.0,264.0,218.0,46.0,3.0,21.0,334.0,154.0,180.0,1.0,5.06,-8.19,-0.83
104,PIT,2007,JAX,2008-01-05 20:13:00,Sat,0,0,10-7,HOME,29.0,31.0,24.0,340.0,297.0,43.0,4.0,14.0,239.0,104.0,135.0,2.0,-7.31,4.71,-5.52
105,PIT,2008,HOU,2008-09-07 13:02:00,Sun,1,0,1-0,HOME,38.0,17.0,21.0,305.0,122.0,183.0,1.0,20.0,234.0,159.0,75.0,3.0,9.75,10.38,0.26
106,PIT,2008,CLE,2008-09-14 20:23:00,Sun,1,0,2-0,AWAY,10.0,6.0,14.0,281.0,164.0,117.0,0.0,17.0,208.0,155.0,53.0,2.0,-0.53,10.2,-3.71
107,PIT,2008,PHI,2008-09-21 16:14:00,Sun,0,0,2-1,AWAY,6.0,15.0,14.0,180.0,147.0,33.0,3.0,16.0,260.0,195.0,65.0,3.0,-20.26,10.7,0.64
108,PIT,2008,BAL,2008-09-29 20:40:00,Mon,1,1,3-1,HOME,23.0,20.0,11.0,237.0,168.0,69.0,1.0,16.0,243.0,140.0,103.0,1.0,-10.21,11.31,1.44
109,PIT,2008,JAX,2008-10-05 20:23:00,Sun,1,0,4-1,AWAY,26.0,21.0,28.0,415.0,286.0,129.0,1.0,14.0,213.0,175.0,38.0,0.0,8.31,2.06,-1.09
110,PIT,2008,CIN,2008-10-19 13:04:00,Sun,1,0,5-1,AWAY,38.0,10.0,20.0,375.0,250.0,125.0,0.0,16.0,212.0,128.0,84.0,1.0,18.82,12.53,-4.38
111,PIT,2008,NYG,2008-10-26 16:15:00,Sun,0,0,5-2,HOME,14.0,21.0,12.0,249.0,154.0,95.0,4.0,14.0,282.0,199.0,83.0,0.0,-14.29,8.35,-0.91
112,PIT,2008,WAS,2008-11-03 20:41:00,Mon,1,0,6-2,AWAY,23.0,6.0,15.0,224.0,160.0,64.0,1.0,13.0,221.0,161.0,60.0,2.0,-4.06,25.3,-4.1
113,PIT,2008,IND,2008-11-09 16:15:00,Sun,0,0,6-3,HOME,20.0,24.0,18.0,326.0,267.0,59.0,3.0,17.0,290.0,228.0,62.0,0.0,-0.21,-7.2,4.41
114,PIT,2008,LAC,2008-11-16 16:16:00,Sun,1,0,7-3,HOME,11.0,10.0,24.0,410.0,286.0,124.0,0.0,16.0,218.0,152.0,66.0,2.0,4.33,3.2,-7.01
115,PIT,2008,CIN,2008-11-20 20:15:00,Thu,1,0,8-3,HOME,27.0,10.0,20.0,364.0,243.0,121.0,1.0,11.0,208.0,165.0,43.0,1.0,10.16,14.71,-7.82
116,PIT,2008,NWE,2008-11-30 16:15:00,Sun,1,0,9-3,AWAY,33.0,10.0,19.0,333.0,172.0,161.0,1.0,19.0,267.0,145.0,122.0,5.0,1.0,18.08,1.93
117,PIT,2008,DAL,2008-12-07 16:16:00,Sun,1,0,10-3,HOME,20.0,13.0,13.0,238.0,168.0,70.0,2.0,15.0,289.0,194.0,95.0,5.0,-18.36,26.1,1.0
118,PIT,2008,BAL,2008-12-14 16:15:00,Sun,1,0,11-3,AWAY,13.0,9.0,18.0,311.0,220.0,91.0,2.0,12.0,202.0,90.0,112.0,2.0,-9.12,16.41,-2.9
119,PIT,2008,TEN,2008-12-21 13:02:00,Sun,0,0,11-4,AWAY,14.0,31.0,23.0,374.0,301.0,73.0,4.0,16.0,322.0,205.0,117.0,0.0,-9.79,-6.07,-1.19
120,PIT,2008,CLE,2008-12-28 13:02:00,Sun,1,0,12-4,HOME,31.0,0.0,20.0,369.0,193.0,176.0,1.0,8.0,126.0,20.0,106.0,2.0,8.48,28.13,-4.06
121,PIT,2008,LAC,2009-01-11 16:45:00,Sun,1,0,13-4,HOME,35.0,24.0,22.0,342.0,177.0,165.0,0.0,15.0,290.0,275.0,15.0,2.0,5.94,-0.97,5.45
122,PIT,2008,BAL,2009-01-18 18:43:00,Sun,1,0,14-4,HOME,23.0,14.0,11.0,275.0,223.0,52.0,1.0,13.0,198.0,125.0,73.0,4.0,-12.37,23.82,3.13
123,PIT,2008,ARI,2009-02-01 18:31:00,Sun,1,0,15-4,NEUTRAL,27.0,23.0,20.0,292.0,234.0,58.0,1.0,23.0,407.0,374.0,33.0,2.0,4.62,-0.92,1.91
124,PIT,2009,TEN,2009-09-10 20:41:00,Thu,1,1,1-0,HOME,13.0,10.0,19.0,357.0,321.0,36.0,3.0,18.0,320.0,234.0,86.0,2.0,-5.13,1.07,7.06
125,PIT,2009,CHI,2009-09-20 16:15:00,Sun,0,0,1-1,AWAY,14.0,17.0,21.0,308.0,203.0,105.0,2.0,17.0,275.0,231.0,44.0,0.0,10.09,-4.15,-11.12
126,PIT,2009,CIN,2009-09-27 16:15:00,Sun,0,0,1-2,AWAY,20.0,23.0,17.0,373.0,271.0,102.0,1.0,19.0,273.0,173.0,100.0,0.0,2.17,-3.97,1.46
